sheet,panel,panels,fold,chapter,section,module,content_type,cs_code,title,scan_pages,ocr_path,publish_source
102,2,2,bifold,5,exploded-views,,figure,CS 7 863,Exploded view - cabinet,102,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-10/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_102.webp
103,1,2,bifold,5,exploded-views,,figure,CS 7 864,Exploded view - sandwich,103,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-11/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_103.webp
103,2,2,bifold,5,exploded-views,,figure,CS 7 864,Exploded view - sandwich,103,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-11/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_103.webp
104,1,2,bifold,5,exploded-views,,figure,CS 7 865,Exploded view - frontloader,104,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-12/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_104.webp
104,2,2,bifold,5,exploded-views,,figure,CS 7 865,Exploded view - frontloader,104,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-12/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_104.webp
105,1,2,bifold,5,exploded-views,,figure,CS 7 866,Exploded view - disc drive,105,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-13/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_105.webp
105,2,2,bifold,5,exploded-views,,figure,CS 7 866,Exploded view - disc drive,105,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-13/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_105.webp
106,1,1,A4,6,divider,,divider,,Chapter 6 divider (Repair method),106,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-14/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_106.webp
107,1,1,A4,6,repair-method,,text,CS 8 110,Repair method - title page and contents,107,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-15/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_107.webp
108,1,1,A4,6,repair-method,,text,CS 8 111,Introduction / diagnostic software,108,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-16/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_108.webp
109,1,1,A4,6,repair-method,,text,CS 8 112,Reproducing the error codes on the screen,109,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-17/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_109.webp
110,1,1,A4,6,repair-method,,text,CS 8 113,Programme loop in the self-test mode,110,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-18/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_110.webp
111,1,1,A4,6,repair-method,,table,CS 8 114,Meaning of the error codes,111,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-19/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_111.webp
112,1,1,A4,6,fault-finding,,text,CS 8 115,Fault finding - meaning of the symbols used,112,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-20/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_112.webp
113,1,1,A4,6,fault-finding,,figure,CS 8 116,Test procedure flow chart,113,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-21/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_113.webp
114,1,1,A4,6,fault-finding,,figure,CS 8 117,Fault finding chart 1 - no display,114,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-22/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_114.webp
115,1,1,A4,6,fault-finding,,figure,CS 8 118,Fault finding chart 2 - error code <60 (self test mode),115,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-23/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_115.webp
116,1,1,A4,6,fault-finding,,figure,CS 8 119,"Fault finding chart - time out tilt, laser not on, not out of focus",116,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-24/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_116.webp
117,1,1,A4,6,fault-finding,,figure,CS 8 120,"Fault finding chart - not in focus after 5 attempts, motor speed error, frame lock",117,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-25/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_117.webp
118,1,1,A4,7,divider,,divider,,Chapter 7 divider (Circuit description),118,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-26/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_118.webp
119,1,1,A4,5,exploded-views,,figure,CS 7 867,Exploded view - optical deck [bound after chapter 7 divider],119,unsorted-source-material/ocr-markdown-service-manual/ocr-playground-download-20260821T150737Z/Philips-VP415-Service-Manual-hires-300-part4of5-pages093-139.pdf/pages/page-27/markdown.md,Original PNG/vp415-colour300dpi-fixed_Page_119.webp
